PLATE MJD NEXP SEEING20 SEEING50 SEEING80 CARTID AZ ALT AIRMASS RA DEC SPEC1_R SPEC2_R SPEC1_I SPEC2_I
7583 56958 20 1.48784 1.58114 1.70898 11 55.9518 72.4801989014 1.07704 335.192256 22.658299 42.1141 47.5032 31.8795 37.6494
7584 56957 16 1.5317 1.61072 1.6896 10 63.4293 65.2462 1.13009 340.816104 19.727355 33.6244 35.3619 24.5289 25.6344
7585 57190 24 1.71398 1.79663 1.89145 10 75.7555546667 59.8320006667 1.18844 339.094663 21.371455 53.818 54.58 40.6684 44.451
7586 57186 20 1.7002 1.79766 1.90496 12 78.6303856 61.6383876 1.16765 337.620573 23.434428 44.5978 43.7112 35.4668 34.1866
7587 57297 12 1.29327 1.33403 1.41143 15 79.3593783333 58.6294583333 1.19205 341.271252 22.407478 42.5335 44.0439 33.4977 34.2946
7588 56903 16 1.646 1.74588 1.87142 11 47.3883 69.7679995728 1.08393 9.128141 18.469652 34.7772 43.7035 27.4147 37.6338
7589 56946 12 1.09393 1.15923 1.23503 17 52.3263 71.1549989217 1.06482 7.558966 20.412427 38.7505 45.0687 32.1415 35.673
7590 56944 16 1.30803 1.397 1.47245 11 63.1129999466 63.4030002136 1.14992 6.368495 18.475372 38.6744 45.2936 31.0809 36.1332
7591 56954 16 1.40595 1.45627 1.51348 10 53.68 72.6120021667 1.06539 5.623477 22.01583 37.3233 45.0543 27.0449 34.734
7592 56947 12 1.11243 1.1684 1.2251 17 24.2803 75.9019998372 1.03368 4.507645 20.019793 37.5967 40.548 28.2255 30.8796
7593 56958 16 1.4971 1.57195 1.66513 10 65.3587 67.7109998703 1.1063 2.690572 21.810116 37.8038 36.2825 27.3381 29.1564
7594 56947 12 1.22977 1.2726 1.3458 10 56.7973 68.2759996948 1.08683 2.222525 19.525767 34.9714 42.9313 24.6657 31.3824
7595 56957 12 1.33773 1.39287 1.42843 11 69.3510000814 64.824 1.11932 0.096191 21.378257 28.0056 30.7061 20.8575 24.3801
7596 56945 16 1.42313 1.48305 1.58435 10 26.8145 74.4260003052 1.04606 359.650424 19.147013 48.3657 54.2158 40.028 45.0596
7597 56973 24 1.65327 1.81248 1.97283 12 71.1199994965 66.3557 1.15602 358.264896 23.270666 40.6149 41.3284 32.1548 35.0348
7598 56956 16 1.24452 1.29577 1.37005 12 68.8252502136 64.279 1.14161 357.441284 21.011381 38.7867 43.9817 28.491 33.1789
7599 56955 20 1.55728 1.6525 1.79472 12 50.0331997681 68.946800592 1.10353 357.061858 18.697504 38.2655 39.4252 28.8479 32.377
7600 56984 16 1.49755 1.5783 1.70017 11 47.3685 75.4937494354 1.04551 355.528756 22.93297 34.5374 37.8153 25.9665 26.8894
7601 56959 12 1.24437 1.30533 1.3649 10 58.6053 69.419 1.07818 354.660309 20.769958 36.9468 40.1932 29.8283 32.4568
7602 56954 16 1.31017 1.3932 1.45635 12 62.4330007477 64.0977 1.1419 354.441404 18.676824 39.3668 40.6082 30.1559 30.0407
7603 56960 20 1.4753 1.54946 1.63616 10 32.028 76.9950005615 1.03976 352.950056 22.542238 42.992 46.094 34.0434 37.1326
7604 56947 16 1.17698 1.22082 1.26702 12 67.503500061 63.2285 1.1532 351.893758 19.941435 49.4039 45.405 38.3768 32.6524
7605 56949 16 1.4436 1.5205 1.62172 12 39.7552 71.16 1.07528 342.83443 18.615293 34.1001 36.6712 22.4424 26.9498
7606 56977 24 1.6127 1.69528 1.77078 12 50.9468 72.4134992981 1.08704 350.528623 21.914523 49.2815 45.2578 40.6786 34.8041
7607 56902 12 1.64503 1.70707 1.7635 10 50.2423 70.2473344116 1.071 349.842546 19.278679 41.8695 44.1207 34.0167 36.7599
7608 56945 20 1.41924 1.55772 1.66178 16 45.0066 70.1644008301 1.09066 345.142959 18.541026 47.4716 48.8625 39.2255 44.0922
7609 56959 16 1.29325 1.37895 1.4405 11 67.7757 64.8378 1.13528 343.226411 20.955136 35.4366 39.3455 28.1734 32.1939
7610 56980 32 1.4412 1.55355 1.68731 12 38.776 73.9109991684 1.05908 348.217248 21.102559 46.8649 48.4786 39.0135 42.0016
7611 56946 20 1.24346 1.29394 1.3668 16 47.3738 69.9866 1.09327 347.460352 18.904642 43.6334 49.2502 35.7806 42.6088
7612 56972 24 1.7063 1.7852 1.87887 15 36.0487 74.104666036 1.06609 345.55978 20.779438 40.4001 43.5506 33.507 37.1937
7613 56988 20 0.55206 0.56944 0.60088 11 22.67 79.2800002563 1.01906 344.052656 23.043696 37.5147 46.5603 30.6378 36.1506
7614 57307 24 1.32965 1.3801 1.43708 15 56.9296456667 72.4506593333 1.08975 346.453275 23.185284 45.535 45.9451 38.0951 39.8487
7615 56977 16 1.46005 1.5313 1.6411 15 38.6712 76.5394997711 1.03793 8.567985 22.511953 37.8799 43.457 31.617 31.8495
7616 56902 12 1.47213 1.5571 1.62997 11 57.504 69.3980010173 1.07806 10.238945 20.471343 38.9302 46.1167 31.718 36.0377
7617 56949 28 1.68161 1.78351 1.92404 10 62.1487 68.5897142683 1.14825 11.545185 22.276142 41.7929 37.2718 30.2839 27.0048
7618 56898 16 1.57155 1.6964 1.90528 11 27.5217 73.4485 1.0536 11.697225 18.462819 40.1295 47.8111 32.0514 37.3222
7619 56900 16 1.6654 1.77873 1.9065 11 27.3003 75.3345001526 1.0413 12.87442 20.07906 44.1891 49.9525 36.6721 42.0683
7620 56904 12 1.79177 1.85893 1.942 10 52.2017 73.4540007324 1.05019 14.215567 22.031352 34.9663 37.5857 27.6325 30.1956
7621 56985 32 1.73792 1.84555 1.96793 13 284.633 54.2479 1.18568 19.755577 18.422797 33.3216 33.9666 24.9646 25.5832
7622 56987 36 1.29137 1.37794 1.53302 13 49.2213 57.8731 1.10252 17.123054 18.429221 44.8473 39.6718 33.8709 30.1602
7623 56901 12 1.5024 1.61573 1.69207 11 33.3717 73.0413 1.05016 14.390263 18.439316 34.3638 42.8913 27.9256 34.9177
7624 57039 28 1.65016 1.77644 1.9752 17 279.56 52.61 1.22944 15.741256 20.186934 39.0849 48.712 27.5573 36.8382
7625 57011 16 1.31612 1.37387 1.45092 15 274.644 51.1598 1.23043 17.039484 22.248935 34.7437 39.646 25.4347 29.161
7626 56934 20 1.29734 1.36566 1.47268 15 278.992 48.6674 1.24357 28.810288 18.710417 41.6575 49.4521 30.2392 35.9449
7627 56933 16 1.30447 1.38872 1.5041 14 114.124 61.263000412 1.24174 26.258135 19.048143 38.5264 44.251 30.9079 34.4578
7628 56978 16 1.30732 1.38937 1.48182 15 281.186 52.6615 1.20894 23.761828 19.382764 32.8289 35.2016 25.3569 28.1567
7629 56988 20 1.35464 1.43114 1.53646 13 -62.10540047 65.6309997986 1.06429 21.220779 19.714176 40.2563 55.796 32.6172 43.2123
7630 57006 20 1.29778 1.39452 1.47428 12 287.124 59.9409997498 1.20448 18.450748 20.256575 37.3467 49.6717 29.6773 41.2983
7631 57279 16 1.2911 1.37872 1.44277 17 278.73001625 55.708083 1.22242 19.70318 21.967778 37.2865 43.4753 27.7724 33.0871
7632 56987 36 1.16298 1.24503 1.32492 15 278.899 52.9352 1.281 30.30601 20.691562 28.1406 29.0141 21.1936 22.6977
7633 56931 20 1.17684 1.22656 1.28266 14 278.862 53.2002 1.17123 27.793036 20.969677 47.4589 52.4641 36.0038 39.9507
7634 56935 12 1.30077 1.3874 1.47577 16 278.803 54.096 1.18851 25.1804 21.313476 33.7486 31.897 25.7035 27.4851
7635 56979 16 1.40683 1.51765 1.6536 15 277.893 54.1583 1.18787 22.394362 21.80357 30.883 32.9499 24.6395 27.6199
7636 56989 20 1.3349 1.41096 1.49762 16 279.909 58.4186003845 1.11962 31.220424 22.799849 37.1877 46.1085 32.0835 40.0047
7637 56933 16 1.1955 1.25278 1.35035 15 280.949 60.0077 1.11549 28.953417 22.977124 38.6533 45.277 31.8499 38.9303
7638 56981 20 1.25104 1.36352 1.491 15 275.841 55.4412 1.19483 26.62468 23.364347 38.0702 38.7989 27.3008 30.6235
7639 57297 28 1.65087 1.73299 1.8122 10 78.1061381429 63.8767872857 1.14806 327.123812 24.440164 57.5118 57.8147 48.1914 60.1304
7640 57311 16 1.2829 1.3365 1.38563 13 75.71500725 67.8291675 1.08759 329.479353 25.082658 41.4145 38.0962 36.4419 33.7471
7641 57307 16 1.42255 1.48627 1.57732 17 76.38026325 70.945149 1.08087 327.237043 26.724499 40.1748 49.0263 31.4211 41.0904
7643 57302 16 1.69513 1.78802 1.87685 10 72.77885775 68.28077275 1.10264 333.185066 24.427058 40.1277 41.3638 34.5777 33.2845
7644 57327 24 1.76868 1.87748 2.02603 13 49.0618165 77.908294 1.04414 331.698208 25.962724 39.393 43.1063 36.8242 32.119
7648 57329 12 1.21127 1.26293 1.36013 11 63.874422 74.3243156667 1.04633 335.816436 25.056668 42.8055 48.8041 32.7633 38.2753
7653 57306 16 1.53513 1.6078 1.69035 12 72.83049825 67.5202861747 1.10959 339.563444 24.071312 50.8108 57.6832 38.1512 41.9301
7654 57330 16 1.6905 1.76622 1.85105 10 64.76439475 75.11895675 1.05091 338.128285 25.911986 38.9317 41.304 28.2721 31.6663
